competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,cspobl_slicecount,cspobl_solution
PiticOpen2023,5.67,c,B,5,"(0,2) / (-3,0) / (0,3) / (3,-3) / (-2,-2) / (0,-3) / (3,-4) / (0,-3) / (3,0) / (4,0) / (-4,0) / (4,-3)",6,"(2,-3)/(0,-2)/(2,3)/(3,0)/(1,0)/(5,-4)/(3,-2)"
IIRecifeOpen2018,5.67,c,A,1,"(0,-4) / (-3,3) / (3,0) / (0,-3) / (1,-2) / (0,-3) / (-1,0) / (3,0) / (3,0) / (4,0) / (4,0) / (0,-4) / (0,-4) / (-4,-3)",7,"(4,1)/(0,4)/(-4,0)/(2,-2)/(0,3)/(-3,0)/(-3,4)/(2,0)"
IIRecifeOpen2018,5.67,c,A,2,"(-3,-1) / (0,-3) / (-5,-2) / (0,-3) / (3,0) / (3,-3) / (5,0) / (6,-3) / (2,-5) / (4,0) / (6,0) /",5,"(6,0)/(2,0)/(1,-4)/(0,3)/(-1,-3)/(3,-2)"
IIRecifeOpen2018,5.67,c,A,3,"(1,0) / (3,3) / (-4,-1) / (4,-2) / (-1,-4) / (3,-2) / (-3,0) / (-2,-1) / (4,-3) / (-3,-4) / (-2,0)",7,"(2,-2)/(-1,0)/(-2,0)/(0,-4)/(-1,-2)/(0,-3)/(-2,3)/(2,0)"
IIRecifeOpen2018,5.67,c,A,4,"(-5,3) / (0,3) / (3,0) / (-1,-4) / (-3,0) / (-2,-2) / (-4,0) / (0,-3) / (6,-3) / (2,0) / (-5,-2)",5,"(6,0)/(3,-1)/(-3,0)/(3,-3)/(0,-5)/(2,0)"
IIRecifeOpen2018,5.67,c,A,5,"(-2,0) / (-4,-4) / (3,0) / (1,-2) / (5,-1) / (-3,-2) / (0,-3) / (4,0) / (0,-3) / (0,-3) / (6,-1)",5,"(-1,0)/(1,3)/(0,3)/(3,-3)/(-1,3)/(3,-2)"
PhoenixCubeChampionship2018,5.67,f,B,1,"(1,-3) / (0,-3) / (-4,-4) / (-2,-5) / (2,-4) / (-3,-5) / (0,-3) / (3,0) / (-3,0)",6,"(2,3)/(1,-3)/(-3,0)/(0,3)/(1,0)/(3,3)/(2,0)"
PhoenixCubeChampionship2018,5.67,f,B,2,"(-5,3) / (-3,3) / (2,-1) / (3,-3) / (3,0) / (1,0) / (-3,0) / (5,0) / (4,0) / (-4,-3) / (0,-4) / (-4,0) / (0,-2)",6,"/(-2,-3)/(-4,-2)/(1,-4)/(3,3)/(-4,6)/(3,-2)"
PhoenixCubeChampionship2018,5.67,f,B,3,"(0,-1) / (4,-2) / (0,3) / (3,0) / (-3,0) / (-1,-4) / (-2,-3) / (-3,0) / (5,0) / (-3,0)",5,"(0,4)/(0,-3)/(1,-3)/(3,-3)/(5,-4)/(3,-2)"
PhoenixCubeChampionship2018,5.67,f,B,4,"(-5,0) / (-3,0) / (-4,5) / (-2,-5) / (-3,0) / (5,-4) / (0,-5) / (3,0) / (-3,-3) /",5,"(6,0)/(0,-5)/(2,-3)/(0,3)/(-3,2)/(3,-2)"
