competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
GemCitySpecialIIOH2024,8.2,d,B,1,UR6+ DR3+ DL2+ UL1- U3+ R6+ D5- L1- ALL2- y2 U0+ R4- D5+ L1- ALL6+,8,UR4+ R5+ \2- ALL6- y2 dl1+ L2- DL3+ DR4+
GemCitySpecialIIOH2024,8.2,d,B,2,UR2+ DR3- DL3+ UL1- U3- R1+ D4- L2- ALL0+ y2 U3+ R4+ D5- L1+ ALL6+,9,UR2+ DR4+ R6- \5- y2 D5- UL3- DL2+ DR4- \1+
GemCitySpecialIIOH2024,8.2,d,B,3,UR2+ DR6+ DL4+ UL5+ U3+ R4+ D2+ L3- ALL5- y2 U5- R2+ D5- L0+ ALL4+,8,U2+ L6- ur1- dl2+ ALL3- y2 ur6+ DR5+ UR5+
GemCitySpecialIIOH2024,8.2,d,B,4,UR1- DR3+ DL1+ UL3- U0+ R6+ D3- L3+ ALL2- y2 U2+ R5- D6+ L4- ALL4+,8,UR4+ DL1- dl5+ /3- ALL3+ y2 R5+ UL2- DL6+
GemCitySpecialIIOH2024,8.2,d,B,5,UR1+ DR6+ DL5+ UL2+ U2+ R5+ D1+ L0+ ALL3+ y2 U1+ R1+ D5- L0+ ALL2+,8,UL5- L2- ul6- y2 ul4- dl2+ D5+ UR1- /1-
ClockedinQuezonCity2024,8.2,2,B,1,UR6+ DR6+ DL1+ UL5+ U2- R4- D5+ L5- ALL2+ y2 U0+ R0+ D2+ L2+ ALL5-,8,UR3+ DR1+ DL1- /5- y2 dl2+ dr3+ D2- L2-
ClockedinQuezonCity2024,8.2,2,B,2,UR6+ DR0+ DL5+ UL3- U3+ R6+ D2+ L5- ALL3- y2 U5- R3- D5- L5- ALL5-,8,UL3+ U3+ D5+ \2+ y2 dr1+ D2+ UL5+ DR3+
ClockedinQuezonCity2024,8.2,2,B,3,UR4+ DR2- DL5- UL0+ U5+ R4+ D3- L5+ ALL0+ y2 U5- R1+ D4+ L3- ALL4+,9,UR3+ R3+ D2- y2 dr6+ D1- UL5+ DL2- DR1- /4+
ClockedinQuezonCity2024,8.2,2,B,4,UR3- DR4+ DL4+ UL0+ U5- R2+ D4+ L5+ ALL5+ y2 U6+ R5+ D1- L6+ ALL5+,8,DR3- DL3+ U4- y2 dr3- ur1- D6+ UL6+ DR5-
ClockedinQuezonCity2024,8.2,2,B,5,UR0+ DR1+ DL5+ UL3- U1- R2+ D6+ L6+ ALL3- y2 U1- R6+ D4+ L1+ ALL2-,8,UL4+ R3- ul2- y2 L4- DL3+ DR5+ UR1+ ALL1-
SantiagoCubikzChallengeMega2024,8.2,c,A,1,UR2+ DR0+ DL5+ UL1- U0+ R5- D2- L1- ALL1+ y2 U6+ R1+ D5- L1+ ALL1-,8,DL3- U1- R3+ \2+ y2 D5+ U5- L1- UR1-
SantiagoCubikzChallengeMega2024,8.2,c,A,2,UR1- DR5+ DL1- UL1+ U5+ R1+ D3- L0+ ALL2+ y2 U6+ R0+ D1- L5+ ALL2-,7,UR5- D1- dr3- y2 ul1+ UL6+ DL1+ \4-
SantiagoCubikzChallengeMega2024,8.2,c,A,3,UR2+ DR3+ DL2+ UL0+ U4+ R2- D2+ L5+ ALL1- y2 U3+ R4- D5+ L0+ ALL3+,8,UR3- DL5+ U3- /3+ ALL5- y2 dr1+ DR5- UR3-
SantiagoCubikzChallengeMega2024,8.2,c,A,4,UR5- DR1- DL1- UL5- U4+ R4+ D6+ L3+ ALL2- y2 U0+ R1+ D1+ L5- ALL0+,8,UR6- DR4- L3+ /5- ALL3- y2 dr1- L5+ DR1-
SantiagoCubikzChallengeMega2024,8.2,c,A,5,UR0+ DR2+ DL5- UL3- U1- R3+ D4+ L3+ ALL3+ y2 U2- R5- D5- L1- ALL5-,10,DR1- UL5+ U1- R4- ur3+ ALL4+ y2 R1- DL1+ DR4+ UR2+
MumbaiTwistathon2024,8.2,c,B,1,UR6+ DR4+ DL3+ UL4- U4+ R4+ D4- L4+ ALL5+ y2 U1+ R1+ D3- L0+ ALL4-,7,UR6- DL3- R4+ ul5- y2 D3+ UR1- \3+
